x-axis,1,2
second,Volt,Volt
+102.8400E-06,+44.7202248E-03,+4.8878770024E+00
+103.3600E-06,+46.6875615E-03,+5.2145101707E+00
+103.8800E-06,+49.2956016E-03,+4.9381282590E+00
+104.4000E-06,+47.6599233E-03,+4.9632538874E+00
+104.9200E-06,+45.5342951E-03,+5.1140076574E+00
+105.4400E-06,+44.5619333E-03,+5.0888820291E+00
+105.9600E-06,+44.2378127E-03,+4.9130026307E+00
+106.4800E-06,+45.0669585E-03,+5.2145101707E+00
+107.0000E-06,+47.7956017E-03,+5.0888820291E+00
+107.5200E-06,+47.4564057E-03,+5.0135051440E+00
+108.0400E-06,+43.7177123E-03,+5.0888820291E+00
+108.5600E-06,+43.9136921E-03,+5.0888820291E+00
+109.0800E-06,+48.6398228E-03,+4.9130026307E+00
+109.6000E-06,+44.8935916E-03,+5.0888820291E+00
+110.1200E-06,+43.8684660E-03,+5.0888820291E+00
+110.6400E-06,+45.2327876E-03,+4.9632538874E+00
+111.1600E-06,+46.2579132E-03,+5.0888820291E+00
+111.6800E-06,+47.1247474E-03,+5.1642589141E+00
+112.2000E-06,+48.0820338E-03,+5.2647614274E+00
+112.7200E-06,+47.9388177E-03,+4.8878770024E+00
+113.2400E-06,+46.0242449E-03,+5.0888820291E+00
+113.7600E-06,+47.1247474E-03,+4.9632538874E+00
+114.2800E-06,+47.8483655E-03,+4.8878770024E+00
+114.8000E-06,+48.0141946E-03,+5.1642589141E+00
+115.3200E-06,+45.7830389E-03,+5.0888820291E+00
+115.8400E-06,+46.6724861E-03,+4.8376257457E+00
+116.3600E-06,+47.7880640E-03,+5.2396357991E+00
+116.8800E-06,+47.2830388E-03,+4.8878770024E+00
+117.4000E-06,+47.4111795E-03,+4.9130026307E+00
+117.9200E-06,+46.0167072E-03,+5.0135051440E+00
+118.4400E-06,+46.3257524E-03,+5.0888820291E+00
+118.9600E-06,+46.4086670E-03,+5.1642589141E+00
+119.4800E-06,+46.9061544E-03,+5.0888820291E+00
+120.0000E-06,+46.6800238E-03,+5.1642589141E+00
+120.5200E-06,+46.6347976E-03,+4.7371232323E+00
+121.0400E-06,+46.9363052E-03,+5.2145101707E+00
+121.5600E-06,+45.8584157E-03,+5.0888820291E+00
+122.0800E-06,+46.1297725E-03,+5.0888820291E+00
+122.6000E-06,+46.1297725E-03,+5.0888820291E+00
+123.1200E-06,+46.7026368E-03,+5.1642589141E+00
+123.6400E-06,+48.6247474E-03,+4.8878770024E+00
+124.1600E-06,+45.7755012E-03,+5.0888820291E+00
+124.6800E-06,+45.7076620E-03,+5.0888820291E+00
+125.2000E-06,+46.7403253E-03,+5.1391332857E+00
